OBJECTID,ClosestID,FileName,POINT_X,POINT_Y
9408,17688,sg_017688.soil,9.125000000000057,4.041666667000072
9409,17689,sg_017689.soil,9.375000000000057,4.041666667000072
9410,17690,sg_017690.soil,9.041666667000072,4.125000000000057
9411,17715,sg_017715.soil,8.875000000000057,3.625000000000057
9412,17716,sg_017716.soil,8.708333333000041,3.708333333000041
9413,17717,sg_017717.soil,8.625000000000057,3.291666667000072
9414,17718,sg_017718.soil,8.791666667000072,3.541666667000072
9415,17771,sg_017771.soil,9.625000000000057,1.458333333000041
9416,17784,sg_017784.soil,9.625000000000057,0.958333333000041
9417,17454,sg_017454.soil,12.375000000000057,4.708333333000041
9418,17455,sg_017455.soil,12.708333333000041,4.958333333000041
9419,17457,sg_017457.soil,11.458333333000041,4.875000000000057
9420,17459,sg_017459.soil,13.291666667000072,4.958333333000041
9421,17460,sg_017460.soil,13.875000000000057,4.541666667000072
9422,17524,sg_017524.soil,12.875000000000057,4.791666667000072
9423,17525,sg_017525.soil,12.958333333000041,4.791666667000072
9424,17526,sg_017526.soil,11.291666667000072,4.708333333000041
9425,17527,sg_017527.soil,11.208333333000041,4.708333333000041
9426,17528,sg_017528.soil,11.041666667000072,4.708333333000041
9427,17529,sg_017529.soil,10.791666667000072,4.875000000000057
9428,17530,sg_017530.soil,10.958333333000041,4.791666667000072
9429,17531,sg_017531.soil,11.791666667000072,4.541666667000072
9430,17533,sg_017533.soil,14.041666667000072,4.875000000000057
9431,17534,sg_017534.soil,9.708333333000041,4.791666667000072
9432,17535,sg_017535.soil,9.791666667000072,4.791666667000072
9433,17536,sg_017536.soil,9.958333333000041,4.958333333000041
9434,17537,sg_017537.soil,9.875000000000057,4.958333333000041
9435,17538,sg_017538.soil,10.208333333000041,4.875000000000057
9436,17539,sg_017539.soil,10.291666667000072,4.791666667000072
9437,17540,sg_017540.soil,10.375000000000057,4.958333333000041
9438,17546,sg_017546.soil,10.708333333000041,4.958333333000041
9439,17596,sg_017596.soil,11.958333333000041,4.291666667000072
9440,17597,sg_017597.soil,11.958333333000041,4.458333333000041
9441,17598,sg_017598.soil,12.041666667000072,4.458333333000041
9442,17599,sg_017599.soil,11.541666667000072,4.291666667000072
9443,17600,sg_017600.soil,11.125000000000057,4.458333333000041
9444,17601,sg_017601.soil,10.875000000000057,4.625000000000057
9445,17602,sg_017602.soil,11.291666667000072,4.625000000000057
9446,17603,sg_017603.soil,11.291666667000072,4.541666667000072
9447,17604,sg_017604.soil,12.625000000000057,3.958333333000041
9448,17605,sg_017605.soil,13.208333333000041,4.041666667000072
9449,17606,sg_017606.soil,12.875000000000057,4.291666667000072
9450,17607,sg_017607.soil,14.041666667000072,4.541666667000072
9451,17609,sg_017609.soil,13.708333333000041,4.541666667000072
9452,17610,sg_017610.soil,13.791666667000072,4.541666667000072
9453,17611,sg_017611.soil,13.625000000000057,4.541666667000072
9454,17612,sg_017612.soil,9.625000000000057,4.375000000000057
9455,17614,sg_017614.soil,9.625000000000057,4.625000000000057
9456,17615,sg_017615.soil,9.708333333000041,4.625000000000057
9457,17616,sg_017616.soil,9.875000000000057,4.208333333000041
9458,17617,sg_017617.soil,10.291666667000072,4.541666667000072
9459,17618,sg_017618.soil,10.958333333000041,4.375000000000057
9460,17650,sg_017650.soil,11.708333333000041,4.291666667000072
